timestamp,Tair_C,RH_p,distance_m,Tinternal_C,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name
11/17/23 19:56,8,67.8,1.233547682,9.5,8.25,8.38,8.13,9.31,7.94,7.75,7.75,7.38,6.31,6,A4
11/17/23 19:57,8,67.8,1.233715741,9.69,8.25,8.31,8.13,9.31,7.94,7.75,7.75,7.38,6.25,6,A4
11/17/23 19:57,8,67.8,1.234219915,9.81,8.25,8.31,8.13,9.25,7.94,7.75,7.75,7.44,6.31,5.94,A4
11/17/23 19:57,8,67.5,1.234051857,9.88,8.25,8.31,8.13,8.5,7.94,7.75,7.75,7.38,6.25,5.94,A4
11/17/23 19:57,8,67.5,1.233883799,9.75,8.25,8.31,8.13,9.25,7.94,7.75,7.75,7.38,6.25,5.94,A4
11/17/23 19:57,8,67.5,1.234219915,9.63,8.25,8.31,8.13,9.25,7.94,7.75,7.75,7.44,6.25,5.94,A4
11/17/23 19:58,8,67.8,1.233379624,9.5,8.25,8.31,8.13,9.25,7.94,7.75,7.75,7.44,6.25,6,A4
11/17/23 19:58,8,67.7,1.233883799,10.25,8.25,8.31,8.13,8.44,7.94,7.75,7.75,7.38,6.31,5.94,A4
11/17/23 20:02,8,67.7,1.229514284,10.69,8.25,8.31,8.13,8.38,7.94,7.75,7.75,7.38,6.19,6,A4
11/17/23 20:06,8,67.7,1.233043507,10.94,8.25,8.31,8.13,8.63,7.94,7.75,7.69,7.31,6.25,5.94,A4
11/17/23 20:10,8,67.7,1.229346226,11.06,8.13,8.19,8,8.25,7.75,7.56,7.5,7.25,6.25,5.94,A4
11/17/23 20:14,8,67.9,1.228337876,11.06,7.94,8,7.81,8,7.56,7.38,7.38,7.13,6.25,5.94,A4
11/17/23 20:18,8,67.9,1.230522633,11.06,7.81,7.88,7.69,8.13,7.44,7.25,7.25,7.06,6.31,5.94,A4
11/17/23 20:23,7.7,68.2,1.229026103,11.06,7.88,7.88,7.69,7.75,7.38,7.19,7.19,7.06,6.31,6,A4
11/17/23 20:27,7.7,68.2,1.225330794,11,7.81,7.81,7.56,7.75,7.31,7.13,7.13,7,6.31,5.94,A4
11/17/23 20:31,7.5,68.9,1.228252598,10.94,7.69,7.63,7.44,7.56,7.19,7,7,6.88,6.31,5.94,A4
11/17/23 20:35,7.5,68.9,1.229092142,10.81,7.63,7.56,7.31,7.5,7.06,6.88,6.94,6.81,6.31,5.94,A4
