timestamp,Tair_C,RH_p,distance_m,Tinternal_C,T100_C,T50_C,T25_C,T10_C,T5_C,T0_C,T5s_C,T10s_C,T25s_C,T50s_C
11/17/23 20:09,9.3,67.7,NaN,NaN,8.63,8.5,8.25,8.19,8.06,7.69,7.31,6.88,6.75,7.5
11/17/23 20:09,9.3,67.7,NaN,NaN,8.63,8.44,9.44,8.19,8.06,7.69,7.25,6.88,6.75,7.5
11/17/23 20:09,9.2,67.5,1.263629279,NaN,8.63,8.56,9.5,8.19,8.06,7.69,7.31,6.88,6.75,7.5
11/17/23 20:09,9.2,67.5,1.259250449,NaN,8.56,8.5,9.5,8.19,8.06,7.63,7.25,6.88,6.75,7.5
11/17/23 20:09,9.2,67.5,NaN,NaN,8.63,8.5,9.5,8.13,8.06,7.63,7.25,6.88,6.75,7.5
11/17/23 20:10,9.2,67.4,1.309438577,NaN,8.63,8.44,9.5,8.19,8.06,7.63,7.31,6.88,6.75,7.5
11/17/23 20:10,9.2,67.4,1.308596495,NaN,8.63,8.44,8.25,8.13,8.06,7.63,7.25,6.88,6.75,7.5
11/17/23 20:10,9.2,66.6,1.25436637,NaN,8.63,8.44,8.06,8.19,8.06,7.63,7.31,6.88,6.75,7.5
11/17/23 20:10,9.2,66.6,1.30590183,NaN,8.63,8.44,9.5,8.13,8.06,7.63,7.25,6.88,6.75,7.5
11/17/23 20:10,9.2,66,1.29276534,NaN,8.63,8.38,9.5,8.19,8.06,7.63,7.25,6.88,6.75,7.5
11/17/23 20:10,9.2,66,NaN,NaN,8.63,8.44,9.44,8.19,8.06,7.56,7.25,6.88,6.75,7.5
11/17/23 20:11,9.2,65.4,1.305733414,NaN,8.63,8.5,9.56,8.19,8.06,7.56,7.31,6.88,6.75,7.5
11/17/23 20:11,9.2,65.4,1.301523,NaN,8.63,8.56,9.5,8.13,8.06,7.56,7.25,6.88,6.75,7.5
11/17/23 20:11,9.2,65.4,1.297312587,NaN,8.63,8.38,9.63,8.13,8.06,7.56,7.25,6.88,6.75,7.5
11/17/23 20:11,9.2,65.4,NaN,NaN,8.63,8.5,9.56,8.13,8,7.56,7.25,6.88,6.75,7.5
11/17/23 20:14,9.2,65.4,1.260934615,10.63,8.31,8.13,9.25,7.94,7.81,7.5,7.25,6.88,6.75,7.5
11/17/23 20:14,9.3,67.2,1.269243313,10.63,8.25,8.13,9.19,7.88,7.81,7.5,7.25,6.88,6.75,7.5
11/17/23 20:14,9.3,67.2,1.253240909,10.69,8.25,8.06,9.19,7.88,7.81,7.5,7.25,6.88,6.75,7.44
11/17/23 20:14,9.3,67.3,1.256778282,10.69,8.19,7.94,9.25,7.81,7.75,7.5,7.25,6.88,6.75,7.5
11/17/23 20:15,9.3,67.3,1.25644139,10.69,8.13,7.94,9.13,7.81,7.75,7.5,7.25,6.88,6.75,7.5
11/17/23 20:15,9.3,67.3,1.30360637,10.69,8.06,7.88,9.13,7.81,7.75,7.5,7.25,6.88,6.75,7.5
11/17/23 20:15,9.2,67.6,1.257566284,10.63,8.06,7.88,9.13,7.75,7.69,7.5,7.25,6.88,6.75,7.5
11/17/23 20:15,9.2,67.9,1.307080746,10.63,8,7.88,8.94,7.75,7.69,7.5,7.25,6.88,6.75,7.44
11/17/23 20:16,9.3,68.1,1.302090353,10.94,8,7.69,8.81,7.69,7.56,7.44,7.25,6.88,6.75,7.5
11/17/23 20:20,9.3,68.1,1.298216087,11.19,8.44,8.19,9.5,7.88,7.75,7.38,7.19,6.88,6.75,7.5
11/17/23 20:24,9.2,68.1,1.261945114,11.25,8.25,7.94,7.63,7.63,7.56,7.31,7.19,6.88,6.75,7.5
11/17/23 20:28,9.2,68.1,1.298323086,11.31,7.56,7.31,7.25,7.25,7.19,7.13,7.13,6.88,6.75,7.44
11/17/23 20:32,9,67.9,1.295506181,11.25,7.5,7.19,8.56,7,7,7,7.13,6.88,6.75,7.44
11/17/23 20:36,9,67.9,1.287930121,11.19,7.94,7.63,8.81,7.44,7.31,7,7.06,6.88,6.75,7.44
11/17/23 20:40,8.4,70.5,1.293455271,11.13,7.31,7,8.44,6.81,6.75,6.88,7.06,6.88,6.75,7.44
11/17/23 20:44,8.4,70.5,1.292614382,11,7.56,7.13,8.56,6.81,6.75,6.69,7.06,6.88,6.75,7.44
11/17/23 20:48,8.2,71.2,1.292827666,10.94,7.63,7.25,6.94,6.88,6.81,6.75,7,6.88,6.75,7.38
11/17/23 20:52,8.2,71.2,1.307117699,10.81,7.56,7.19,8.56,6.81,6.69,6.63,7,6.88,6.69,7.38
11/17/23 20:56,8.3,71,NaN,10.75,7.5,7.13,6.88,6.69,6.56,6.56,6.94,6.88,6.75,7.38
11/17/23 21:00,8.3,71,1.257578192,10.63,7.13,6.75,7.69,6.31,6.25,6.44,6.94,6.81,6.69,7.38
11/17/23 21:04,8,71.8,1.256907781,10.5,7,6.56,6.5,6.25,6.13,6.31,6.88,6.81,6.69,7.38
11/17/23 21:08,8,71.8,1.264974578,10.38,6.81,6.44,7.44,6.06,6,6.19,6.88,6.81,6.69,7.38
11/17/23 21:12,7.8,72.8,NaN,10.25,6.88,6.56,6.19,6.13,6.06,6.19,6.88,6.81,6.69,7.38
11/17/23 21:16,7.8,72.8,1.232940855,10.13,6.44,6.06,7.19,5.81,5.75,6.13,6.81,6.81,6.69,7.38
11/17/23 21:20,7.6,74,1.231494298,10,6.31,5.94,7,5.56,5.63,5.94,6.81,6.81,6.69,7.38
11/17/23 21:24,7.6,74,1.237036274,9.81,6.56,6.13,7.19,5.75,5.63,5.94,6.75,6.81,6.69,7.38
11/17/23 21:28,7.2,76.7,1.227260316,9.69,6.94,6.56,7.38,5.88,5.81,5.94,6.69,6.81,6.69,7.38
11/17/23 21:32,7.2,76.7,1.232798343,9.56,6.38,5.94,5.5,5.63,5.63,5.94,6.75,6.81,6.69,7.38
11/17/23 21:36,7.2,76.3,1.380982516,9.44,6.5,6,7,5.69,5.63,5.94,6.69,6.81,6.63,7.38
11/17/23 21:40,7.2,76.3,NaN,9.38,6.56,6.13,7.06,5.81,5.75,5.94,6.69,6.75,6.63,7.38
11/17/23 21:44,7.2,76.8,NaN,9.25,7.44,6.88,6.56,6.25,6.13,6.06,6.75,6.75,6.63,7.31
11/17/23 21:48,7.2,76.8,1.298583389,9.19,8,7.56,8.38,6.81,6.63,6.31,6.75,6.75,6.63,7.31
11/17/23 21:52,7.6,76.5,1.37810476,9.13,7.75,7.31,8.38,6.63,6.5,6.25,6.75,6.75,6.63,7.31
