timestamp,Tair_C,RH_p,Tinternal_C,T100_C,T50_C,T25_C,T10_C,T5_C,T0_C,T5s_C,T10s_C,T25s_C,T50s_C
11/30/23 16:20,-2,57.3,1.5,-1.25,-0.56,0.63,2.75,0.69,-0.38,0,0.38,0.56,1.38
11/30/23 16:20,-2,57.2,1.38,-1.25,-0.56,0.5,3.13,0.69,-0.44,0,0.44,0.5,1.38
11/30/23 16:20,-2,57.2,1.31,-1.25,-0.31,0.63,3.38,0.75,-0.44,0,0.44,0.5,1.38
11/30/23 16:20,-2,57.3,1.19,-1.25,-0.31,1.38,3.25,0.69,-0.44,0,0.44,0.5,1.38
11/30/23 16:21,-2,57.3,1.06,-1.19,-0.13,1.69,3.06,0.63,-0.44,-0.06,0.44,0.5,1.38
11/30/23 16:21,-1.9,57.1,1.13,-1.13,0.19,2.56,2.88,0.63,-0.44,0,0.44,0.5,1.38
11/30/23 16:21,-1.9,57.1,1,-1.13,0.19,5.19,2.75,0.5,-0.44,-0.06,0.38,0.56,1.38
11/30/23 16:21,-1.9,57.2,1.06,-1.06,0.38,6.88,2.56,0.44,-0.44,0,0.38,0.5,1.38
11/30/23 16:21,-1.9,57.2,1.38,-1,0.25,6.31,2.31,0.38,-0.44,0,0.38,0.56,1.44
11/30/23 16:21,-1.9,57.8,1.31,-0.94,0.19,5.56,2.06,0.31,-0.44,0,0.38,0.56,1.38
11/30/23 16:22,-1.9,57.8,1.19,-0.81,0.25,7.88,1.81,0.25,-0.44,0,0.38,0.5,1.44
11/30/23 16:22,-1.8,58.7,1.13,0.06,2,9.25,1.63,0.25,-0.44,0,0.38,0.5,1.44
11/30/23 16:22,-1.8,58.7,1.25,0.19,1.69,10.88,1.5,0.19,-0.44,0,0.38,0.56,1.44
11/30/23 16:22,-1.7,57.7,1.25,0.06,1.38,12,1.31,0.13,-0.44,0.06,0.38,0.56,1.44
11/30/23 16:22,-1.7,57.7,1.31,0,1.06,11.63,1.13,0.06,-0.44,0,0.38,0.56,1.44
11/30/23 16:22,-1.7,57,1.19,-0.13,0.88,10.81,0.94,0,-0.38,0.06,0.38,0.56,1.44
11/30/23 16:23,-1.7,57,1.44,-0.19,1,9.94,0.81,-0.06,-0.44,0,0.38,0.5,1.44
11/30/23 16:23,-1.6,57.2,1.75,-0.31,1.06,9.13,0.81,-0.06,-0.5,0,0.38,0.56,1.44
11/30/23 16:23,-1.5,56.5,2.25,-0.44,0.69,7.69,0.56,-0.19,-0.5,0,0.38,0.56,1.44
11/30/23 16:23,-1.5,55.8,2.81,-0.63,0.75,6.25,0.38,-0.19,-0.56,0,0.38,0.56,1.44
