timestamp,Tair_C,RH_p,Tinternal_C,T100_C,T50_C,T25_C,T10_C,T5_C,T0_C,T5s_C,T10s_C,T25s_C,T50s_C,Site_Name
11/30/23 17:59,1.7,52.5,5.31,1.44,1.5,1.38,1.31,1.75,0.75,0.19,0.06,0.13,0.19,D2
11/30/23 17:59,1.7,52.5,5.31,1.44,1.56,1.44,1.44,1.88,0.81,0.19,0.06,0.13,0.19,D2
11/30/23 17:59,1.7,52.5,5.31,1.5,1.63,1.5,1.44,1.81,0.81,0.19,0.06,0.13,0.19,D2
11/30/23 17:59,1.9,51.3,9.81,1.25,1.75,1.56,1.44,1.69,1,0.31,0.06,0.13,0.19,D2
11/30/23 17:59,1.9,51.3,9.75,1.25,1.75,1.5,1.44,1.88,1,0.13,0.06,0.13,0.25,D2
11/30/23 17:59,1.7,51.3,9.44,1.25,1.75,1.56,1.44,1.81,1,0.25,0.06,0.13,0.19,D2
11/30/23 17:59,1.7,51.4,9.44,1.25,1.75,1.56,1.44,1.75,1,0.31,0.06,0.13,0.19,D2
11/30/23 17:59,1.7,51.4,9,1.25,1.75,1.56,1.5,1.75,1,0.31,0.06,0.13,0.19,D2
11/30/23 17:59,1.7,51.6,8.56,1.25,1.75,1.56,1.5,1.75,1,0.25,0.06,0.13,0.19,D2
11/30/23 18:00,1.7,51.6,8.19,1.25,1.75,1.56,1.5,1.75,1.06,0.25,0.06,0.13,0.25,D2
11/30/23 18:08,1.6,52.5,7.88,1.25,1.69,1.56,1.44,1.75,1,0.25,0.06,0.13,0.19,D2
11/30/23 18:08,1.6,52.5,7.69,1.19,1.63,1.5,1.38,1.81,0.94,0.19,0.06,0.13,0.25,D2
11/30/23 18:08,1.6,52.5,7.44,1.13,1.5,1.44,1.38,1.75,0.94,0.13,0.06,0.13,0.19,D2
11/30/23 18:08,1.6,52.6,7.31,1.13,1.5,1.38,1.38,1.63,0.88,0.31,0.06,0.13,0.19,D2
11/30/23 18:10,1.8,51.9,5.94,0.88,1.25,1.31,1.25,1.63,0.69,0.13,0.06,0.13,0.19,D2
11/30/23 18:10,1.8,51.9,5.75,0.94,1.25,1.31,1.25,1.63,0.75,0.13,0.06,0.13,0.25,D2
11/30/23 18:10,1.5,51.8,5.63,0.94,1.19,1.38,1.31,1.63,0.75,0.25,0.06,0.13,0.19,D2
11/30/23 18:10,1.5,51.8,5.63,0.94,1.25,1.38,1.38,1.63,0.75,0.25,0.06,0.13,0.25,D2
11/30/23 18:11,1.7,52.2,5.38,0.94,1.19,1.38,1.31,1.56,0.75,0.31,0.06,0.13,0.25,D2
11/30/23 18:11,1.7,52.2,5.19,1,1.19,1.38,1.38,1.63,0.75,0.19,0.06,0.13,0.25,D2
11/30/23 18:11,1.5,52.9,4.94,1,1.19,1.31,1.25,1.5,0.69,0.25,0.06,0.13,0.25,D2
11/30/23 18:12,1.6,52.5,5.06,0.94,1.13,1.19,1.06,1.31,0.44,0.13,0.06,0.13,0.25,D2
11/30/23 18:13,1.5,52.5,3.94,1,1.06,1.06,0.88,1.19,0.31,0.13,0.06,0.13,0.25,D2
11/30/23 18:17,1.5,52.5,2.5,0.44,1.19,1.38,3.25,1.44,0,0.25,0.06,0.13,0.31,D2
11/30/23 18:21,1.4,53.3,2.5,0.69,2.38,1,0.69,0.88,0,0.06,0.06,0.13,0.31,D2
11/30/23 18:25,1.4,53.3,2.31,4.5,1.19,0.81,0.56,0.69,0.06,0.06,0.06,0.13,0.31,D2
11/30/23 18:31,0.7,54.2,2,0.88,0.81,0.69,0.69,0.88,0.31,0.06,0.06,0.13,0.25,D2
11/30/23 18:35,0.7,54.2,2.25,1.06,0.88,0.69,0.69,0.94,0.38,0.13,0.06,0.13,0.31,D2
11/30/23 18:39,0.6,54.2,2.63,0.19,0.25,0.25,0.13,0.38,0.06,0.06,0.06,0.13,0.31,D2
11/30/23 18:43,0.6,54.2,2.94,-0.13,-0.13,-0.06,-0.19,0,-0.25,0.06,0.06,0.13,0.38,D2
11/30/23 18:47,0.5,54.2,3.13,-0.31,-0.31,-0.31,-0.5,-0.38,-0.38,0,0.06,0.13,0.38,D2
11/30/23 18:51,0.5,54.2,3.19,0.06,-0.13,-0.13,-0.31,-0.19,-0.25,0,0,0.13,0.38,D2
11/30/23 18:55,-0.4,57.6,3.25,0.31,0.31,0.25,0,0.25,0,0,0.06,0.13,0.38,D2
11/30/23 18:59,-0.4,57.6,3.25,0.44,0.5,0.5,0.38,0.63,0.31,0.06,0.06,0.13,0.44,D2
11/30/23 19:03,0.2,55.4,3.31,0.63,0.81,0.75,0.56,0.75,0.19,0.06,0.06,0.13,0.44,D2
11/30/23 19:07,0.2,55.4,3.38,1,0.94,0.88,0.75,0.88,0.19,0.13,0.06,0.13,0.44,D2
11/30/23 19:11,0.6,55.4,3.44,1.19,1.19,1.06,0.75,0.75,0.19,0.13,0.06,0.13,0.44,D2
11/30/23 19:15,0.6,55.4,3.5,1.5,1.69,1.38,1.06,1,0.5,0.31,0.06,0.13,0.44,D2
11/30/23 19:19,1.1,55.1,3.63,0.94,0.88,0.88,0.63,0.69,0,0.06,0.06,0.13,0.44,D2
11/30/23 19:23,1.1,55.1,3.63,1.63,1.25,1.19,1.38,1.5,1.19,0.31,0.06,0.13,0.44,D2
11/30/23 19:27,0.7,54.5,3.75,1.88,2.06,2,2.06,2.25,1.88,0.31,0.06,0.19,0.5,D2
11/30/23 19:31,0.7,54.5,3.81,1.81,2.25,2.06,2.44,2.63,2.38,0.38,0.06,0.19,0.5,D2
11/30/23 19:35,1.3,54.5,3.88,2.19,2,2.06,2.44,2.5,2.13,0.44,0.06,0.19,0.56,D2
11/30/23 19:39,1.3,54.5,3.94,1.94,1.81,1.69,1.56,1.56,1.06,0.38,0.06,0.13,0.5,D2
11/30/23 19:43,1.8,54.2,4,1.75,1.63,1.63,1.44,1.44,1.13,0.38,0.06,0.19,0.56,D2
11/30/23 19:47,1.8,54.2,4.06,1.69,1.56,1.5,1.19,1.31,0.63,0.13,0.06,0.19,0.63,D2
11/30/23 19:51,1.4,54.3,4.13,1.25,1.5,1.38,1.19,1.19,0.69,0.25,0.06,0.19,0.63,D2
11/30/23 19:55,1.4,54.3,4.13,1,0.88,0.81,0.5,0.56,0.06,0.13,0.06,0.25,0.63,D2
11/30/23 19:59,1.5,56,4.13,1.19,1,0.94,0.56,0.63,0,0,0.06,0.19,0.69,D2
11/30/23 20:03,1.5,56,4.06,0.75,0.63,0.63,0.31,0.44,0,0.06,0.06,0.25,0.69,D2
11/30/23 20:06,0.8,55.4,4,0.5,0.44,0.56,0.31,0.44,0.19,0.13,0.06,0.19,0.69,D2
11/30/23 20:10,0.8,55.4,3.94,0.81,0.63,0.69,0.38,0.56,0.31,0.13,0.06,0.25,0.75,D2
