timestamp,air_temp,Rel_hum,Dis_m,Sen_temp,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name,T100_C,T50_C,T25_C,T5s_C,T10s_C,T25s_C,T50s_C,hour
2023-11-18T00:56:00Z,8,67.8,1.233547682,9.5,8.25,8.38,8.13,9.31,7.94,7.75,7.75,7.38,6.31,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T00:00:00Z
NA,8,67.8,1.233715741,9.69,8.25,8.31,8.13,9.31,7.94,7.75,7.75,7.38,6.25,6,A4,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-18T01:02:00Z,8,67.7,1.229514284,10.69,8.25,8.31,8.13,8.38,7.94,7.75,7.75,7.38,6.19,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T01:00:00Z
2023-11-18T02:07:00Z,6.9,71.3,1.236667251,10.06,7.13,7.06,7,6.88,6.5,6.25,6.31,6.38,6.13,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T02:00:00Z
2023-11-18T03:04:00Z,6.5,75.1,1.228744167,8.88,6.88,6.75,6.75,7.56,6.13,5.94,5.94,5.94,6.13,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T03:00:00Z
2023-11-18T04:01:00Z,7.2,75.7,1.231287972,8.69,8.44,8.44,8.25,8.44,7.88,7.63,7.44,6.44,6.31,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T04:00:00Z
2023-11-18T05:06:00Z,6.7,86,1.242094009,8.56,6.94,7,7.13,7.44,6.69,6.56,6.69,6.44,6.13,6.06,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T05:00:00Z
2023-11-18T06:03:00Z,6.7,86.2,1.242261678,8.38,7.13,7.25,7.25,7.81,6.94,6.81,6.88,6.56,6.13,6.06,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T06:00:00Z
2023-11-18T07:00:00Z,7.4,85.1,1.237099214,8.44,7.63,7.69,7.56,7.75,7.44,7.25,7.31,6.75,6.38,6.06,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T07:00:00Z
2023-11-18T08:05:00Z,7.5,86.8,1.225230241,8.63,7.81,7.88,7.75,7.94,7.56,7.38,7.44,6.88,6.31,6.13,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T08:00:00Z
2023-11-18T09:02:00Z,7.5,87.9,1.233121952,8.75,8.19,8.25,8.13,8.38,7.94,7.81,7.81,7.13,6.25,6.13,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T09:00:00Z
2023-11-18T10:07:00Z,7.8,88.4,1.225212925,9,8.25,8.38,8.25,8.56,8.06,7.88,7.88,6.94,6.31,6.19,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T10:00:00Z
2023-11-18T11:04:00Z,8,88.6,1.22598506,9.19,8.5,8.63,8.44,8.75,8.25,8.13,8.06,7.19,6.38,6.19,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T11:00:00Z
2023-11-18T12:01:00Z,8.2,88.8,1.230287758,9.44,8.69,8.75,8.63,9.06,8.44,8.31,8.31,7.38,6.31,6.25,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T12:00:00Z
2023-11-18T13:06:00Z,7.5,88.7,1.267711158,9.38,6.69,6.88,6.94,6.81,6.69,6.56,6.75,6.75,6.31,6.25,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T13:00:00Z
2023-11-18T14:03:00Z,4.5,87.5,1.230354739,7.75,4.88,5,4.94,4.94,4.88,4.75,5.13,5.81,6.31,6.25,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T14:00:00Z
2023-11-18T15:00:00Z,3.9,87.3,1.229691939,6.63,4.13,4.25,4.19,3.81,4.13,4.06,4.44,5.38,6.5,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T15:00:00Z
2023-11-18T16:05:00Z,2.7,88,1.230188804,5.31,3.13,3.25,3.31,4.19,3.13,3.06,3.5,4.56,6.5,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T16:00:00Z
2023-11-18T17:02:00Z,2.5,88.2,1.234069325,4.69,3.19,3.25,3.25,3.69,3.13,3.06,3.44,4.5,6.25,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T17:00:00Z
2023-11-18T18:07:00Z,1.3,88.1,1.234701104,3.94,1.94,2,1.94,3.63,1.94,1.88,2.38,3.81,6.19,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T18:00:00Z
2023-11-18T19:04:00Z,0,87.9,1.2307795,3,0.31,0.5,0.5,2,0.5,0.5,1,2.94,6.06,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T19:00:00Z
2023-11-18T20:00:00Z,-0.6,87.5,1.225786699,2.06,0.13,0.31,0.31,0.88,0.25,0.25,0.81,2.56,6,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T20:00:00Z
2023-11-18T21:05:00Z,-0.5,85.4,1.229818014,1.75,0.19,0.38,0.44,1.19,0.56,0.56,1,2.75,5.81,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T21:00:00Z
2023-11-18T22:02:00Z,-0.9,85.1,1.228750184,1.63,0.38,0.63,0.75,2.75,1.13,1.19,1.63,3.06,5.75,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T22:00:00Z
2023-11-18T23:07:00Z,-0.2,77.6,1.266427307,3.5,0.56,0.81,0.81,3,1.31,1.44,2.06,3.75,5.63,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-18T23:00:00Z
2023-11-19T00:04:00Z,-0.7,77.4,1.262950705,3.38,-0.56,-0.31,-0.31,1.25,-0.06,0,0.56,2.81,5.63,6.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T00:00:00Z
2023-11-19T01:00:00Z,-1.6,76.8,1.234271564,2.13,-1.06,-0.94,-0.94,0.56,-0.88,-0.88,-0.19,1.81,5.63,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T01:00:00Z
2023-11-19T02:05:00Z,-1.9,74.1,1.230453199,1,-1.63,-1.44,-1.5,-0.69,-1.44,-1.44,-0.81,1.25,5.56,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T02:00:00Z
2023-11-19T03:02:00Z,-2.6,74.5,1.237931777,-0.13,-2.19,-2.06,-2.13,-1.81,-2.19,-2.25,-1.56,0.5,5.44,6.31,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T03:00:00Z
2023-11-19T04:07:00Z,-3.1,75,1.274011202,-0.88,-2.69,-2.56,-2.56,-1.31,-2.63,-2.69,-2,0.13,5.25,6.25,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T04:00:00Z
2023-11-19T05:04:00Z,-3.8,74.9,1.278445208,-1.63,-3.31,-3.19,-3.25,-2.69,-3.31,-3.38,-2.63,-0.25,5.13,6.25,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T05:00:00Z
2023-11-19T06:00:00Z,-4.2,75.3,1.279303661,-2.31,-3.88,-3.75,-3.88,-2.81,-3.94,-4,-3.19,-0.56,5,6.19,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T06:00:00Z
2023-11-19T07:05:00Z,-4.7,74.2,1.290594562,-3,-4.44,-4.38,-4.44,-2.94,-4.5,-4.5,-3.56,-0.69,4.75,6.19,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T07:00:00Z
2023-11-19T08:02:00Z,-4.9,75.6,1.348061308,-3.31,-4.13,-4,-4,-2.81,-4.06,-4.06,-3.25,-0.63,4.63,6.13,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T08:00:00Z
2023-11-19T09:06:00Z,-5,76.6,1.32909955,-3.5,-4.88,-4.81,-4.94,-3.75,-5,-4.88,-3.75,-0.69,4.5,6.06,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T09:00:00Z
2023-11-19T10:03:00Z,-5.7,78.9,1.233605659,-4.13,-5.06,-5,-5.06,-3.94,-5.13,-5.06,-3.94,-0.75,4.31,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T10:00:00Z
2023-11-19T11:08:00Z,-5.6,77,1.224819387,-4.44,-5.13,-5.19,-5.38,-5.13,-5.38,-5.31,-4.19,-0.88,4.19,6,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T11:00:00Z
2023-11-19T12:04:00Z,-4.6,75.2,1.225627963,-4.13,-4.25,-4.38,-4.56,-3.31,-4.75,-4.69,-3.69,-0.75,4.13,5.94,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T12:00:00Z
2023-11-19T13:01:00Z,-4.6,77.7,1.219714989,-3.63,-3.63,-3.56,-3.69,-2.88,-3.75,-3.69,-2.75,-0.5,4,5.88,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T13:00:00Z
2023-11-19T14:05:00Z,-4.2,75.3,1.24922367,-3.31,-3.75,-3.75,-3.94,-2.81,-4.13,-4.13,-3.19,-0.63,4,5.81,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T14:00:00Z
2023-11-19T15:02:00Z,-3.8,73.7,1.249329819,-3.13,-3.69,-3.75,-4,-3.44,-4.25,-4.25,-3.38,-0.69,3.88,5.75,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T15:00:00Z
2023-11-19T16:07:00Z,-3.1,80.8,1.246834492,-2.5,-2.44,-2.38,-2.44,-2.25,-2.56,-2.63,-2.06,-0.31,3.81,5.75,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T16:00:00Z
2023-11-19T17:03:00Z,-3.2,79.2,1.248579741,-2.13,-2.88,-2.94,-3.25,-2.25,-3.5,-3.5,-2.63,-0.44,3.81,5.63,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T17:00:00Z
2023-11-19T18:00:00Z,-2.3,79.7,1.251484116,-1.63,-2,-1.88,-1.94,-0.81,-1.94,-1.94,-1.31,0,3.75,5.63,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T18:00:00Z
2023-11-19T19:05:00Z,-1.6,78.3,1.223205567,-0.63,0.56,0.69,0.38,2.06,0.75,0.75,0.94,0.56,3.75,5.56,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T19:00:00Z
2023-11-19T20:02:00Z,2.6,67,1.217649501,2.5,2.75,3.13,2.94,4.56,3.63,3.63,3.81,2,3.69,5.5,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T20:00:00Z
2023-11-19T21:07:00Z,3.3,63.3,1.227193128,5.75,4.56,5,5.13,5.31,5.13,5,4.81,2.75,3.69,5.56,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T21:00:00Z
2023-11-19T22:03:00Z,2.5,60.3,1.228910729,8.31,2.31,2.56,2.5,3.69,2.63,2.63,2.81,2.56,3.75,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T22:00:00Z
2023-11-19T23:00:00Z,0.8,62.7,1.229926253,6.38,3.13,3.75,4,4.38,4.75,5.06,5.13,3.75,3.88,5.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-19T23:00:00Z
2023-11-20T00:05:00Z,2.2,54.6,1.247368124,7.88,2.13,2.38,2.31,3.63,2.38,2.31,2.75,3.56,4.06,5.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T00:00:00Z
2023-11-20T01:02:00Z,0.5,57.4,1.250641028,5.44,0.88,0.94,0.81,2.38,0.75,0.63,1.06,2.31,4.31,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T01:00:00Z
2023-11-20T02:07:00Z,-0.2,55.7,1.254339285,3.13,0.38,0.25,0.13,1.5,0,-0.06,0.38,1.69,4.38,5.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T02:00:00Z
2023-11-20T03:04:00Z,-1,62.1,1.258782907,1.69,-1.06,-1,-1.13,0.13,-1.25,-1.25,-0.63,1.13,4.44,5.38,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T03:00:00Z
2023-11-20T04:01:00Z,-1.7,66.7,1.262777546,0.56,-1.44,-1.38,-1.5,-0.31,-1.69,-1.75,-1.13,0.69,4.44,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T04:00:00Z
2023-11-20T05:05:00Z,-2.5,65.7,1.271963028,-0.56,-2.75,-2.75,-2.88,-2.25,-3.06,-3.06,-2.25,0.13,4.38,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T05:00:00Z
2023-11-20T06:02:00Z,-2.7,70.3,1.229461512,-1.06,-2,-1.88,-1.94,-1.44,-2,-2,-1.44,0.31,4.25,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T06:00:00Z
2023-11-20T07:07:00Z,-2.7,71.1,1.262262536,-1.19,-2.25,-2.13,-2.19,-0.94,-2.25,-2.25,-1.63,0.19,4.25,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T07:00:00Z
2023-11-20T08:04:00Z,-2.9,71.6,1.226700073,-1.31,-3.06,-2.94,-3.06,-2.75,-3.13,-3.13,-2.38,-0.31,4.13,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T08:00:00Z
2023-11-20T09:00:00Z,-4,72.6,1.230285013,-1.88,-3.63,-3.5,-3.56,-2.81,-3.63,-3.56,-2.75,-0.44,4.06,5.44,A4,NA,NA,NA,NA,NA,NA,NA,2023-11-20T09:00:00Z
